name,full_name,id,symbol
Deniz GYO,Deniz Gayrimenkul Yatirim Ortakligi AS,19365,DZGYO
Dogus Otomotiv,Dogus Otomotiv Servis ve Ticaret AS,19366,DOAS
Dogan Burda,Dogan Burda Dergi Yayincilik ve Pazarlama AS,19367,DOBUR
DO & CO,DO & Co AG,19368,DOCO
Dogusan Boru,Dogusan Boru Sanayi ve Ticaret AS,19369,DOGUB
Dogan Holding,Dogan Sirketler Grubu Holding AS,19370,DOHOL
Duran Dogan,Duran-Dogan Basim ve Ambalaj Sanayi AS,19371,DURDO
DYO Boya,DYO Boya Fabrikalari Sanayi ve Ticaret AS,19373,DYOBY
Metro Yatirim Ortakligi,Metro Yatirim Ortakligi AS,19374,MTRYO
EIS,EIS Eczacibasi Ilac Sinai ve Finansal Yatirimlar Sanayi ve Ticaret AS,19375,ECILC
Eczacibasi Yatirim,Eczacibasi Yatirim Holding Ortakligi AS,19377,ECZYT
Edip Gayrimenkul,Edip Gayrimenkul Yatirim Sanayi ve Ticaret AS,19378,EDIP
Ege Endustri,Ege Endustri ve Ticaret AS,19381,EGEEN
Ege Gubre,Ege Gubre Sanayi AS,19382,EGGUB
Ege Profil,Ege Profil Ticaret ve Sanayi AS,19383,EGPRO
Ege Seramik,Ege Seramik Sanayi ve Ticaret AS,19384,EGSER
Emlak Konut GYO,Emlak Konut Gayrimenkul Yatirim Ortakligi AS,19386,EKGYO
Euro Menkul,Euro Menkul Kiymet Yatirim Ortakligi AS,19388,EUYO
EMEK Elektirik,EMEK Elektrik Endustrisi AS,19389,EMKEL
ENKA,ENKA Insaat ve Sanayi AS,19391,ENKAI
Egeplast,Egeplast Ege Plastik Ticaret ve Sanayi AS,19392,EPLAS
ERBOSAN,Erbosan Erciyas Boru Sanayi Ve Ticaret AS,19393,ERBOS
Erdemir,Eregli Demir ve Celik Fabrikalari TAS,19394,EREGL
ERSU,ERSU Meyve ve Gida Sanayi AS,19396,ERSU
Escort,Escort Teknoloji Yatirim AS,19397,ESCOM
Euro Trend YO,Euro Trend Yatirim Ortakligi AS,19399,ETYAT
Euro Kapital,Euro Kapital Yatirim Ortakligi AS,19400,EUKYO
Euro Yatirim,Euro Yatirim Holding AS,19401,EUHOL
Fenerbahce,Fenerbahce Futbol AS,19402,FENER
QNB Finans,QNB Finans Finansal Kiralama AS,19404,QNBFL
Federal Mogul,Federal Mogul Izmit Piston ve Pim Uretim Tesisleri AS,19406,FMIZP
Ufuk Yatirim,Ufuk Yatirim Yonetim Ve Gayrimenkul AS,19408,UFUK
Frigo Pak,Frigo-Pak Gida Maddeleri Sanayi ve Ticaret AS,19409,FRIGO
Ford Otosan,Ford Otomotiv Sanayi AS,19410,FROTO
Garanti Bank,Turkiye Garanti Bankasi,19412,GARAN
Garanti Faktoring,Garanti Faktoring AS,19413,GARFA
Inveo Yatirim Holding,Inveo Yatirim Holding AS,19414,INVEO
Gedik Yatirim,Gedik Yatirim Menkul Degerler AS,19415,GEDIK
Gentas,Gentas Genel Metal Sanayi ve Ticaret AS,19417,GENTS
Gersan,Gersan Elektrik Ticaret ve Sanayi AS,19418,GEREL
Global Menkul,Global Menkul Degerler AS,19419,GLBMD
Guler Holding,Guler Yatirim Holding AS,19420,GLRYH
Global Yatirim,Global Yatirim Holding AS,19421,GLYHO
Goltas Cimento,Goltas Goller Bolgesi Cimento Sanayi ve Ticaret AS,19424,GOLTS
Goodyear Lastikleri,Goodyear Lastikleri TAS,19425,GOODY
Gozde,Gozde Girisim Sermayesi Yatirim Ortakligi AS,19426,GOZDE
Garanti YO,Garanti Yatirim Ortakligi AS,19427,GRNYO
GSD Marin,GSD Denizcilik Gayrimenkul Insaat Sanayi ve Ticaret AS,19428,GSDDE
GSD Holding,GSD Holding AS,19429,GSDHO
GS Sportif,Galatasaray Sportif Sinai ve Ticari Yatirimlar AS,19430,GSRAY
Gubretas,Gubre Fabrikalari TAS,19431,GUBRF
Turkiye Sigorta,Turkiye Sigorta AS,19432,TURSG
Turkiye Halk Bk,Turkiye Halk Bankasi,19433,HALKB
Hateks,Hateks Hatay Tekstil Isletmeleri AS,19434,HATEK
Hektas,Hektas Ticaret TAS,19436,HEKTS
Hurriyet Gazete,Hurriyet Gazetecilik ve Matbaacilik AS,19437,HURGZ
Idealist GYO,Idealist Gayrimenkul Yatirim Ortakligi AS,19441,IDGYO
Ihlas Ev Aletleri Imalat,Ihlas Ev Aletleri Imalat Sanayi ve Ticaret AS,19442,IHEVA
Ihlas Gazetecilik,Ihlas Gazetecilik AS,19443,IHGZT
Ihlas Holding,Ihlas Holding AS,19444,IHLAS
Ihlas Gayrimenkul,Ihlas Gayrimenkul Proje Gelistirme ve Ticaret AS,19445,IHLGM
Ihlas Yayin,Ihlas Yayin Holding AS,19446,IHYAY
Indeks,Indeks Bilgisayar Sistemleri Muhendislik Sanayi ve Ticaret AS,19447,INDES
Info Yatirim,Info Yatirim AS,19448,INFO
Intema,Intema Insaat ve Tesisat Malzemeleri Yatirim ve Pazarlama AS,19450,INTEM
Ipek Dogal,Ipek Dogal Enerji Kaynaklari Arastirma ve Uretim AS,19451,IPEKE
Turkiye Is Bankasi C,Turkiye Is Bankasi AS Class C,19454,ISCTR
Is Finansal Kiralama,Is Finansal Kiralama AS,19455,ISFIN
Is Girisim,Is Girisim Sermayesi Yatirim Ortakligi AS,19456,ISGSY
Is GYO,Is Gayrimenkul Yatirim Ortakligi AS,19457,ISGYO
Is Yatirim Menkul Degerler,Is Yatirim Menkul Degerler AS,19458,ISMEN
Is Yatirim Ortakligi,Is Yatirim Ortakligi AS,19459,ISYAT
Ittifak Holding,Ittifak Holding AS,19461,ITTFH
IDC,Izmir Demir Celik Sanayi AS,19462,IZMDC
Kaplamin Ambalaj,Kaplamin Ambalaj Sanayi ve Ticaret AS,19464,KAPLM
Karel,Karel Elektronik Sanayi ve Ticaret AS,19465,KAREL
Karsan Otomotiv,Karsan Otomotiv Sanayi ve Ticaret AS,19467,KARSN
Kartonsan,Kartonsan Karton Sanayi ve Ticaret AS,19468,KARTN
Katmerciler,Katmerciler Arac Ustu Ekipman Sanayi ve Ticaret AS,19469,KATMR
Koc Holding,Koc Holding AS,19470,KCHOL
Kerevitas,Kerevitas Gida Sanayi ve Ticaret AS,19472,KERVT
Doganlar Mobilya,Doganlar Mobilya Grubu Imalat Sanayi ve Ticaret AS,19475,DGNMO
Kiler GYO,Kiler Gayrimenkul Yatirim Ortakligi AS,19476,KLGYO
Klimasan Klima,Klimasan Klima Sanayi ve Ticaret AS,19477,KLMSN
Konfrut,Konfrut Gida Sanayi ve Ticaret AS,19479,KNFRT
Konya Cimento,Konya Cimento Sanayi AS,19480,KONYA
Kordsa Global,Kordsa Global Endustriyel Iplik ve Kord Bezi Sanayi ve Ticaret AS,19481,KORDS
Koza Anadolu,Koza Anadolu Metal Madencilik Isletmeleri AS,19482,KOZAA
Koza Altin,Koza Altin Isletmeleri AS,19483,KOZAL
Kardemir A,Kardemir Karabuk Demir Celik Sanayi ve Ticaret AS Class A,19485,KRDMA
Kardemir B,Kardemir Karabuk Demir Celik Sanayi ve Ticaret AS Class B,19486,KRDMB
Kardemir D,Kardemir Karabuk Demir Celik Sanayi ve Ticaret AS Class D,19487,KRDMD
Kron Telekom,Kron Telekomunikasyon Hizmetleri AS,19488,KRONT
Kristal Kola,Kristal Kola ve Mesrubat Sanayi Ticaret AS,19489,KRSTL
Karsu Tekstil,Karsu Tekstil Sanayi ve Ticaret AS,19490,KRTEK
Kutahya Porselen,Kutahya Porselen Sanayi AS,19491,KUTPO
Link Bilgisayar,Link Bilgisayar Sistemleri Yazilimi ve Donanimi Sanayi ve Ticaret AS,19493,LINK
Lokman Hekim,Lokman Hekim Engurusag Saglik Turizm Egitim Hizmetleri ve Insaat Taahhut AS,19494,LKMNH
Logo Yazilim,Logo Yazilim Sanayi ve Ticaret AS,19495,LOGO
Luks Kadife,Luks Kadife Ticaret ve Sanayi AS,19496,LUKSK
Marmaris Altinyunus,Marmaris Altinyunus Turistik Tesisleri AS,19497,MAALT
MTE,Makina Takim Endustrisi AS,19498,MAKTK
Marti Otel,Marti Otel Isletmeleri AS,19500,MARTI
Mepet Metro,Mepet Metro Petrol ve Tesisleri Sanayi Ticaret AS,19504,MEPET
Merko Gida,Merko Gida Sanayi ve Ticaret AS,19505,MERKO
Metro Holding,Metro Ticari ve Mali Yatirimlar Holding AS,19507,METRO
Metemtur,Metemtur Otelcilik ve Turizm Isletmeleri AS,19508,METUR
Migros,Migros Ticaret AS,19509,MGROS
Milpa,Milpa Ticari ve Sinai Urunler Pazarlama Sanayi ve Ticaret AS,19510,MIPAZ
Menderes Tekstil,Menderes Tekstil Sanayi ve Ticaret AS,19511,MNDRS
Mardin Cimento,Mardin Cimento Sanayi ve Ticaret AS,19513,MRDIN
Marti GYO,Marti Gayrimenkul Yatirim Ortakligi AS,19514,MRGYO
Marshall,Marshall Boya ve Vernik Sanayi AS,19515,MRSHL
Isiklar Enerji,Isiklar Enerji ve Yapi Holding AS,19517,IEYHO
Mazhar Zorlu,Mazhar Zorlu Holding AS,19520,MZHLD
Netas Telekom,Netas Telekomunikasyon AS,19522,NETAS
Net Holding,Net Holding AS,19523,NTHOL
Nurol GYO,Nurol Gayrimenkul Yatirim Ortakligi AS,19525,NUGYO
Nuh Cimento,Nuh Cimento Sanayi AS,19526,NUHCM
Otokar,Otokar Otomotiv ve Savunma Sanayi AS,19528,OTKAR
OYAK YO,OYAK Yatirim Ortakligi AS,19529,OYAYO
Ozderici GYO,Ozderici Gayrimenkul Yatirim Ortakligi AS,19531,OZGYO
Parsan,Parsan Makina Parcalari Sanayi AS,19532,PARSN
Pera GYO,Pera Gayrimenkul Yatirim Ortakligi AS,19533,PEGYO
Penguen Gida,Penguen Gida Sanayi AS,19534,PENGD
Petkim,Petkim Petrokimya Holding AS,19535,PETKM
