name,full_name,id,symbol
Formet Celik Kapi,Formet Celik Kapi Sanayi ve Ticaret AS,1080076,FORMT
Smartiks Yazilim,Smartiks Yazilim AS,1131042,SMART
CEO Event Medya,CEO Event Medya AS,1135867,CEOEM
Derluks Deri,Derluks Deri Sanayi ve Ticaret AS,1141314,DERAS
Naturel Enerji,Naturel Yenilenebilir Enerji Ticare,1152250,NATEN
Yayla Gida,Yayla Agro Gida Sanayi ve Ticaret,1190452,YYLGD
Arsan Tekstil,Arsan Tekstil Ticaret ve Sanayi AS,19293,ARSAN
Gen Ilac, Gen Ilac ve Saglik urunleri Sanayi ve Ticaret AS,1175865,GENIL
Penta Teknoloji,Penta Teknoloji Urunleri Dagitim Ticaret AS,1173350,PENTA
Kutahya Seker,Kutahya Seker Fabrikasi AS,1174867,KTSKR
Obase Bilgisayar,Obase Bilgisayar ve Danismanlik Hizmetleri Ticaret AS,1193240,OBASE
Can2 Termik,Can2 Termik AS,1172944,CANTE
Erciyas Boru,Erciyas Celik Boru Sanayi AS,1184209,ERCB
Ak Enerji,Akenerji Elektrik Uretim AS,19266,AKENER
Aydem Enerji,Aydem Yenilenebilir Enerji AS,1172936,AYDEM
Anatolia Tani ve Biyoteknoloji,Anatolia Tani ve Biyoteknoloji Urunleri,1178550,ANGEN
Oyak Cimento,Oyak Cimento Fabrikalari AS,19513,OYAKC
Naturelgaz,Naturelgaz Sanayi ve Ticaret AS,1172079,NTGAZ
Turk Ilac Serum,Turk Ilac ve Serum Sanayi AS,1171471,TRLC
Baskent Dogalgaz GMYO,Baskent Dogalgaz Dagitim GMYO AS,1174540,BASGZ
Mobitel Iletisim,Mobitel Iletisim Hizmetleri,1180714,MOBTL
Esenboga Elektrik,Esenboga Elektrik Uretim AS,1166937,ESEN
Bist 30,BIST 30,19158,XU30
Bist 100,BIST 100,19155,XU100
Bist Banka,BIST Banks,19180,XBANK
Ziraat Portfoy BIST30,ZPX30,1159128,ZPX30f
Bist Dolar,Istanbul USD,37644,USDTRf
Bist Altin,Istanbul Gold,37601,GLDTRf
Bist Gumus,Istanbul Gumus,39017,GMSTRf
